Pure Random,Latin Hypercube,Orthogonal,samples,square-prime-samples
1.7655231441661647,1.350105933774126,1.350105933774126,1000.0,121.0
1.3746802574566515,1.3746802574566515,1.4792754944370488,10000.0,841.0
1.6497272422653508,1.5302642350668254,1.496131947295818,100000.0,2209.0
1.4134362504149276,1.543063560858625,1.5206280648202926,200000.0,5041.0
1.5839850726570284,1.5305623046078873,1.519877750998059,400000.0,9409.0
1.5086730481488457,1.5096571792957139,1.5047365235613732,600000.0,12769.0
1.5311036670348885,1.4931798423800502,1.511292713856988,800000.0,22201.0
1.495166753240436,1.5048238257831292,1.5081828075371093,1000000.0,29929.0
1.5565086331321225,1.5247761916827884,1.5079385696892647,2000000.0,38809.0
1.502472183063481,1.505826985386111,1.5034306980128038,4000000.0,52441.0
