Pure Random,Latin Hypercube,Orthogonal,Number of Iterations
1.5764511935713583,1.5940441124314608,1.581313934254571,50
1.557727301355963,1.567906061553594,1.5412468582177155,100
1.528447657824506,1.5335998697763933,1.5359045814128014,150
1.52543172887706,1.5138706679118494,1.5185421817968305,200
1.5053255358940851,1.5099750930213982,1.5225488894005161,400
1.5190228798637369,1.513368013087275,1.49183079777226,800
1.5132423493811316,1.5251804014647727,1.519877750998059,1000
1.5132423493811316,1.517137924271583,1.5131999049919165,1200
1.5181432339207317,1.497408722407039,1.5105287665894596,1400
1.5018069521220647,1.5085927922538187,1.511864335790688,1600
1.5039432351265056,1.4922565104551517,1.5185421817968305,1800
1.490999873393716,1.5094724381968239,1.5131999049919165,2000
1.5255573925832036,1.5068335003678084,1.4958375053759456,2200
1.5334742060702498,1.4904972185691414,1.5131999049919165,2400
1.514624650148711,1.513745004205706,1.5051864897845455,2600
1.4970317312886081,1.5121113760258393,1.5091931973882309,2800
1.506330845543234,1.5051998721879416,1.5131999049919165,3000
